Order, Lambda, Accuracy,
0.0, 0.0, 1.0, 
0.0, 40.0, 1.0, 
0.0, 80.0, 1.0, 
0.0, 120.0, 1.0, 
0.0, 160.0, 1.0, 
0.0, 200.0, 1.0, 
0.0, 240.0, 1.0, 
0.0, 280.0, 1.0, 
0.0, 320.0, 1.0, 
0.0, 360.0, 1.0, 
0.0, 400.0, 1.0, 
0.0, 440.0, 1.0, 
0.0, 480.0, 1.0, 
0.0, 520.0, 1.0, 
0.0, 560.0, 1.0, 
0.0, 600.0, 1.0, 
0.0, 640.0, 1.0, 
0.0, 680.0, 1.0, 
0.0, 720.0, 1.0, 
0.0, 760.0, 1.0, 
0.0, 800.0, 1.0, 
0.0, 840.0, 1.0, 
0.0, 880.0, 1.0, 
0.0, 920.0, 1.0, 
0.0, 960.0, 1.0, 
0.0, 1000.0, 1.0, 
0.1, 0.0, 1.0, 
0.1, 40.0, 1.0, 
0.1, 80.0, 1.0, 
0.1, 120.0, 1.0, 
0.1, 160.0, 1.0, 
0.1, 200.0, 1.0, 
0.1, 240.0, 1.0, 
0.1, 280.0, 1.0, 
0.1, 320.0, 1.0, 
0.1, 360.0, 1.0, 
0.1, 400.0, 1.0, 
0.1, 440.0, 1.0, 
0.1, 480.0, 1.0, 
0.1, 520.0, 1.0, 
0.1, 560.0, 1.0, 
0.1, 600.0, 1.0, 
0.1, 640.0, 1.0, 
0.1, 680.0, 1.0, 
0.1, 720.0, 1.0, 
0.1, 760.0, 1.0, 
0.1, 800.0, 1.0, 
0.1, 840.0, 1.0, 
0.1, 880.0, 1.0, 
0.1, 920.0, 1.0, 
0.1, 960.0, 1.0, 
0.1, 1000.0, 1.0, 
0.2, 0.0, 1.0, 
0.2, 40.0, 1.0, 
0.2, 80.0, 1.0, 
0.2, 120.0, 1.0, 
0.2, 160.0, 1.0, 
0.2, 200.0, 1.0, 
0.2, 240.0, 1.0, 
0.2, 280.0, 1.0, 
0.2, 320.0, 1.0, 
0.2, 360.0, 1.0, 
0.2, 400.0, 1.0, 
0.2, 440.0, 1.0, 
0.2, 480.0, 1.0, 
0.2, 520.0, 1.0, 
0.2, 560.0, 1.0, 
0.2, 600.0, 1.0, 
0.2, 640.0, 1.0, 
0.2, 680.0, 1.0, 
0.2, 720.0, 1.0, 
0.2, 760.0, 1.0, 
0.2, 800.0, 1.0, 
0.2, 840.0, 1.0, 
0.2, 880.0, 1.0, 
0.2, 920.0, 1.0, 
0.2, 960.0, 1.0, 
0.2, 1000.0, 1.0, 
0.3, 0.0, 1.0, 
0.3, 40.0, 1.0, 
0.3, 80.0, 1.0, 
0.3, 120.0, 1.0, 
0.3, 160.0, 1.0, 
0.3, 200.0, 1.0, 
0.3, 240.0, 1.0, 
0.3, 280.0, 1.0, 
0.3, 320.0, 1.0, 
0.3, 360.0, 1.0, 
0.3, 400.0, 1.0, 
0.3, 440.0, 1.0, 
0.3, 480.0, 1.0, 
0.3, 520.0, 1.0, 
0.3, 560.0, 1.0, 
0.3, 600.0, 1.0, 
0.3, 640.0, 1.0, 
0.3, 680.0, 1.0, 
0.3, 720.0, 1.0, 
0.3, 760.0, 1.0, 
0.3, 800.0, 1.0, 
0.3, 840.0, 1.0, 
0.3, 880.0, 1.0, 
0.3, 920.0, 1.0, 
0.3, 960.0, 1.0, 
0.3, 1000.0, 1.0, 
0.4, 0.0, 1.0, 
0.4, 40.0, 1.0, 
0.4, 80.0, 1.0, 
0.4, 120.0, 1.0, 
0.4, 160.0, 1.0, 
0.4, 200.0, 1.0, 
0.4, 240.0, 1.0, 
0.4, 280.0, 1.0, 
0.4, 320.0, 1.0, 
0.4, 360.0, 1.0, 
0.4, 400.0, 1.0, 
0.4, 440.0, 1.0, 
0.4, 480.0, 1.0, 
0.4, 520.0, 1.0, 
0.4, 560.0, 1.0, 
0.4, 600.0, 1.0, 
0.4, 640.0, 1.0, 
0.4, 680.0, 1.0, 
0.4, 720.0, 1.0, 
0.4, 760.0, 1.0, 
0.4, 800.0, 1.0, 
0.4, 840.0, 1.0, 
0.4, 880.0, 1.0, 
0.4, 920.0, 1.0, 
0.4, 960.0, 1.0, 
0.4, 1000.0, 1.0, 
0.5, 0.0, 1.0, 
0.5, 40.0, 1.0, 
0.5, 80.0, 1.0, 
0.5, 120.0, 1.0, 
0.5, 160.0, 1.0, 
0.5, 200.0, 1.0, 
0.5, 240.0, 1.0, 
0.5, 280.0, 1.0, 
